"Date","Time","Open","High","Low","Close","Vol","OI"
01/02/2013,22:00,35.00,35.45,34.71,35.36,1194710,0
01/03/2013,22:00,35.18,35.45,34.75,34.77,741941,0
01/04/2013,22:00,34.80,34.80,33.92,34.40,673993,0
01/07/2013,22:00,34.80,34.80,33.90,34.34,441909,0
01/08/2013,22:00,34.50,34.50,33.11,33.68,1283985,0
01/09/2013,22:00,34.01,34.19,33.40,33.64,697979,0
01/10/2013,22:00,33.87,33.99,33.38,33.53,922405,0
01/11/2013,22:00,34.04,34.04,32.11,32.91,1563274,0
01/14/2013,22:00,33.08,33.38,32.85,33.26,925018,0
01/15/2013,22:00,33.11,34.25,33.08,33.90,1624389,0
01/16/2013,22:00,33.85,34.23,33.73,34.10,1378138,0
01/17/2013,22:00,34.16,34.85,33.92,34.38,1436604,0
01/18/2013,22:00,34.74,34.78,33.82,34.52,3555074,0
01/22/2013,22:00,34.56,35.55,34.26,35.19,1920131,0
01/23/2013,22:00,35.02,36.24,34.96,36.00,1564206,0
01/24/2013,22:00,36.00,37.72,35.84,36.99,1970389,0
01/25/2013,22:00,37.00,37.54,36.80,36.98,1287703,0
01/28/2013,22:00,36.86,38.71,36.86,38.03,1985992,0
01/29/2013,22:00,38.10,38.44,37.13,37.95,1426503,0
01/30/2013,22:00,37.85,38.00,37.43,37.52,968098,0
01/31/2013,22:00,37.87,37.87,36.93,37.51,901318,0
02/01/2013,22:00,38.17,38.50,37.62,38.30,1100590,0
02/04/2013,22:00,38.40,38.42,37.59,37.74,1127989,0
02/05/2013,22:00,38.00,38.65,37.68,38.13,1310192,0
02/06/2013,22:00,38.20,39.39,37.90,39.17,1893148,0
02/07/2013,22:00,39.19,39.68,38.95,39.48,1197521,0
02/08/2013,22:00,39.45,40.00,39.14,39.24,1139733,0
02/11/2013,22:00,37.98,39.15,37.50,38.42,3266248,0
02/12/2013,22:00,38.45,38.87,37.29,37.89,2261246,0
02/13/2013,22:00,38.30,39.00,38.05,38.45,967102,0
02/14/2013,22:00,38.64,38.75,38.21,38.30,990640,0
02/15/2013,22:00,38.50,38.51,36.95,37.04,2018269,0
02/19/2013,22:00,37.36,39.29,37.31,39.28,2701340,0
02/20/2013,22:00,39.30,39.65,38.46,38.54,3121910,0
02/21/2013,22:00,36.49,37.39,34.54,35.16,9038212,0
02/22/2013,22:00,35.72,36.39,35.60,36.11,2547831,0
02/25/2013,22:00,36.15,36.75,34.34,34.38,2890772,0
02/26/2013,22:00,34.57,34.96,33.80,34.43,2763050,0
02/27/2013,22:00,34.41,35.41,34.40,35.10,1959129,0
02/28/2013,22:00,35.89,36.10,34.37,34.83,1964893,0
03/01/2013,22:00,35.00,35.08,34.25,34.65,1546600,0
03/04/2013,22:00,34.77,35.83,34.70,35.58,1757660,0
03/05/2013,22:00,36.00,36.92,35.79,36.65,2086969,0
03/06/2013,22:00,37.01,37.88,36.97,37.69,1149925,0
03/07/2013,22:00,37.73,38.65,36.88,38.23,1158354,0
03/08/2013,22:00,38.06,39.44,37.36,38.47,912052,0
03/11/2013,22:00,38.87,39.44,38.65,39.10,1579440,0
